system,first,second,total
ku10,10,10,50
caprasse,30,10,70
noon5,0,0,90
root9,0,0,110
eco7,640,70,760
root7,0,0,10
sparse5,0,0,0
hairer1,0,0,10
root12,0,0,150
root11,0,0,1690
noon4,0,0,20
root8,0,0,40
noon6,100,190,700
katsura6,1280,1440,2860
root10,0,0,420
root5,0,0,0
cassou,6640,10400,18990
trinks,20,0,20
trinks,20,0,40
ojika4,0,0,10
noon7,1300,2310,7190
root6,0,0,0
eco5,0,0,10
henrion5,2140,27830,31700
BIOMD0000000052,0,0,10
BIOMD0000000688,10,0,30
BIOMD0000001004,0,0,10
BIOMD0000000716,0,0,0
BIOMD0000000970,0,0,10
BIOMD0000000060,0,0,10
BIOMD0000000520,0,0,0
BIOMD0000000369,0,0,0
kinema,22940,9160,32300
BIOMD0000000629,0,0,0
BIOMD0000000314,0,0,10
BIOMD0000000363,0,0,10
BIOMD0000000036,0,0,0
BIOMD0000000796,0,0,10
BIOMD0000000987,0,0,10
BIOMD0000000533,0,0,0
BIOMD0000000079,0,0,0
BIOMD0000000759,21800,21030,43690
BIOMD0000000880,0,0,10
BIOMD0000000539,0,0,0
noon8,18460,24070,78950
BIOMD0000000647,0,0,0
BIOMD0000000630,0,0,0
BIOMD0000000299,0,0,0
BIOMD0000000003,0,0,0
BIOMD0000000887,0,0,10
BIOMD0000000708,0,0,0
BIOMD0000000851,0,0,0
BIOMD0000000046,150,30,260
BIOMD0000000319,0,0,10
BIOMD0000001031,0,0,10
BIOMD0000000364,10,0,20
BIOMD0000000894,0,0,0
BIOMD0000000870,0,0,10
BIOMD0000000661,0,0,10
BIOMD0000000321,0,0,0
BIOMD0000000637,1900,990,3040
BIOMD0000000788,0,0,10
BIOMD0000000932,0,0,0
BIOMD0000000945,0,0,10
BIOMD0000000028,20,20,80
BIOMD0000000156,0,0,0
BIOMD0000000026,0,0,10
BIOMD0000000360,0,0,10
BIOMD0000000283,0,0,0
BIOMD0000001035,0,0,10
BIOMD0000000267,0,0,0
BIOMD0000000289,0,0,0
BIOMD0000000459,0,0,10
BIOMD0000000874,0,0,10
BIOMD0000000069,0,0,10
BIOMD0000000676,0,0,10
BIOMD0000000341,0,0,0
BIOMD0000000692,0,0,10
BIOMD0000000035,0,0,10
BIOMD0000000405,0,0,0
BIOMD0000000958,0,0,0
BIOMD0000000274,0,0,10
BIOMD0000000199,0,0,10
